;image;N_PROMPT;N_DESCRICAO;description;PROMPT_ID;PROMPT
0;Mulher_rosto.jpg;3;88;A imagem mostra uma jovem com cabelo castanho preso em um coque bagunçado. Ela tem uma expressão pensativa e está apoiando o queixo com a mão. Seu rosto é adornado por sardas, que se destacam em sua pele clara. Os olhos dela têm um tom profundo e que parecem expressar curiosidade ou contemplação. O fundo é desfocado, sugerindo um ambiente interno, que pode ser uma casa ou um café, mas não há muitos detalhes visíveis. A iluminação é suave, o que dá uma sensação de calma à cena.;1;"
        Descreva esta imagem.
    "
1;Mulher_rosto.jpg;14;71;A imagem apresenta uma jovem mulher com freckles no rosto, que parece estar em um ambiente interno. Ela tem o cabelo preso em um coque e está olhando diretamente para a câmera, com uma expressão serena. Sua mão está posicionada sob o queixo, o que sugere uma atitude pensativa. O plano de fundo parece desfocado, mas dá a impressão de um espaço aconchegante. A iluminação é suave, criando uma atmosfera tranquila.;2;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas)."
2;Mulher_rosto.jpg;17;56;A imagem apresenta uma jovem mulher. Ela possui cabelo castanho preso em um coque. Seu rosto é caracterizado por sardas, e ela tem olhos castanhos. A expressão dela é pensativa, com uma mão apoiada no queixo. Há apenas um indivíduo na imagem. O fundo parece desfocado, sugerindo um ambiente interno, mas não são visíveis muitos detalhes.;3;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos."
3;Mulher_rosto.jpg;25;54;"A imagem apresenta uma jovem mulher com cabelo preso em um coque. Ela tem pele clara e está olhando diretamente para a câmera. O rosto dela é adornado com sardas. 

**Indivíduos**: 1 (uma mulher).

**Objetos**: A imagem não apresenta outros objetos claramente visíveis ou identificáveis ao redor. 

**Quantidade**: 1 indivíduo e zero objetos visíveis.";4;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos.
 Objetos e a quantidade de cada objeto encontrado."
4;Mulher_rosto.jpg;31;125;"A imagem retrata uma jovem mulher. 

### Indivíduos:
- **Quantidade:** 1 indivíduo humano.

### Detalhes do Indivíduo:
- **Características:** Ela possui cabelo castanho preso em um coque. Seu rosto é adornado com sardas, e seus olhos são castanhos.
- **Expressão:** A jovem parece contemplativa, com a mão apoiada no rosto.

### Objetos:
- **Objetos Identificáveis:** Não há objetos visíveis além do indivíduo.

### Cores:
- **Cores predominantes:** Tons terreos, como castanho nos cabelos, e tons mais claros da pele.
  
### Iluminação e Sombras:
- **Iluminação:** A luz é suave, possivelmente natural, criando um efeito delicado.
- **Sombras:** Leves sombras estão presentes, realçando as características da face e das sardas.

A imagem tem um tom tranquilo e intimista, focando principalmente na expressividade do rosto da jovem.";5;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos.
 Objetos e a quantidade de cada objeto encontrado.
 Detalhes sobre cores, iluminação e sombras."
5;Mulher_rosto.jpg;39;138;"A imagem retrata uma jovem mulher. Ela é o único indivíduo presente, e sua expressão facial é contemplativa, com uma mão apoiada no queixo. 

### Detalhes da Imagem:

- **Indivíduos**: 1 mulher.
- **Objetos**: Nenhum objeto específico visível no primeiro plano, mas o fundo sugere uma ambientação doméstica.
- **Cores**: A paleta é predominantemente neutra, com tons de pele claros, cabelo castanho claro e manchas de sardas visíveis. O fundo é desfocado, mas parece ter cores suaves que não distraem.
- **Iluminação**: A iluminação é suave e natural, criando sombras leves que destacam os traços do rosto da mulher, contribuindo para uma aparência suave e calorosa.
- **Ação**: A jovem está posando, parecendo pensativa ou introspectiva, sugerindo um momento de reflexão ou contemplação.

A imagem evoca uma sensação de tranquilidade e introspecção, sendo visualmente agradável e bem iluminada.";6;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos.
 Objetos e a quantidade de cada objeto encontrado.
 Detalhes sobre cores, iluminação e sombras.
 Descreva a algo que está ocorrendo na imagem."
6;Mulher_rosto.jpg;51;134;"A imagem apresenta uma jovem mulher com cabelo preso em um coque. Ela possui sardas visíveis em seu rosto e uma expressão neutra. Ela está apoiando a mão na face, com os dedos levemente tocando o queixo.

### Detalhes da descrição:

- **Indivíduos**: 1 (uma mulher).
- **Objetos**: Não há objetos visíveis destacados na imagem.
- **Cores**: O cabelo é castanho e a pele é clara, com sardas que são mais escuras em contraste. O fundo parece ser em tons suaves e neutros.
- **Iluminação**: A iluminação é suave, com sombras leves no rosto da mulher, enfatizando suas características faciais.
- **Ocorrência**: A mulher parece estar contemplativa ou pensativa, olhando diretamente para a câmera.
- **Texto**: Não há texto visível na imagem. 

Essa é uma descrição geral da imagem com base nos pontos solicitados.";7;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos.
 Objetos e a quantidade de cada objeto encontrado.
 Detalhes sobre cores, iluminação e sombras.
 Descreva a algo que está ocorrendo na imagem.
 Detalhe se algo escrito ou não na imagem e se houver transcreva."
7;Mulher_rosto.jpg;55;128;"A imagem retrata uma jovem mulher em close-up. Ela possui cabelo castanho claro preso em um coque bagunçado no topo da cabeça. Sua pele é clara e pontilhada por sardas, especialmente nas bochechas e no nariz, que contrastam com o tom de sua pele. Os olhos são expressivos e castanho-escuros, e a luz suave destaca suas características faciais.

Ela está apoiando o queixo em uma mão, transmitindo uma expressão contemplativa ou pensativa. A iluminação é difusa, sugerindo um ambiente interno bem iluminado, mas não muito brilhante, com sombras sutis ao redor de seu rosto, que ajudam a acentuar suas feições.

O fundo da imagem é desfocado, dando foco à jovem, e não há objetos visíveis ou texto na composição. A imagem transmite uma sensação de tranquilidade e introspecção.";8;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos.
 Objetos e a quantidade de cada objeto encontrado.
 Detalhes sobre cores, iluminação e sombras.
 Descreva a algo que está ocorrendo na imagem.
 Detalhe se algo escrito ou não na imagem e se houver transcreva.
 Faça a descrição reconstrutiva."
8;Mulher_rosto.jpg;67;247;"A imagem retrata uma jovem mulher com uma expressão pensativa. Aqui está uma descrição detalhada seguindo os pontos solicitados:

1. **Indivíduos**: 
   - Há um único indivíduo visível, que é uma mulher.

2. **Quantidade de indivíduos**: 
   - Somente uma mulher.

3. **Objetos e a quantidade de cada objeto encontrado**: 
   - Não há objetos visíveis em primeiro plano, apenas o rosto da mulher.

4. **Detalhes sobre cores, iluminação e sombras**: 
   - A mulher tem cabelos castanhos escuros, presos em um coque. A pele é clara e apresenta sardas, especialmente nas maçãs do rosto. Os olhos são castanho-escuros, com um brilho suave. A iluminação é suave e natural, criando sombras leves, permitindo que os traços do rosto sejam bem definidos.

5. **Descreva algo que está ocorrendo na imagem**: 
   - A mulher está olhando diretamente para a câmera com uma expressão introspectiva, como se estivesse em um momento de reflexão.

6. **Detalhe se algo escrito ou não na imagem e se houver, transcreva**: 
   - Não há texto visível na imagem.

7. **Faça a descrição reconstrutiva**: 
   - A imagem foca no rosto da mulher, capturando sua expressão e características faciais com detalhes sutis, como as sardas.

8. **Liste todos os elementos visíveis na imagem, do primeiro ao último plano**: 
   - Primeiro plano: rosto da mulher, alguns fios de cabelo soltos.
   - Segundo plano: indistinto, com uma leve desfocagem do ambiente ao fundo, sugerindo uma configuração interna.

Essa descrição capta os elementos principais da imagem sem fazer suposições ou incluir informações não visíveis.";9;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos.
 Objetos e a quantidade de cada objeto encontrado.
 Detalhes sobre cores, iluminação e sombras.
 Descreva a algo que está ocorrendo na imagem.
 Detalhe se algo escrito ou não na imagem e se houver transcreva.
 Faça a descrição reconstrutiva.
 Liste todos os elementos visíveis na imagem, do primeiro ao último plano."
9;Mulher_rosto.jpg;80;204;"A imagem retrata uma jovem mulher, o que caracteriza o único indivíduo presente. A mulher tem cabelos castanhos, amarrados em um coque bagunçado, e possui sardas visíveis em seu rosto, especialmente nas bochechas. 

### Descrição Detalhada:
- **Quantidade de Indivíduos:** 1 (uma mulher).
- **Objetos:** Não há objetos visíveis além da própria mulher. 
- **Cores:** O fundo parece ter tons suaves, possivelmente em bege ou cinza claro, que contrastam com a pele da mulher, que é clara. Seus olhos são castanhos, e as sardas adicionam um toque de cor ao seu rosto.
- **Iluminação e Sombras:** A iluminação é suave e natural, favorecendo a aparência da mulher e iluminando delicadamente seu rosto, o que minimiza sombras. 
- **Atividade:** A mulher está olhando diretamente para a câmera, com uma expressão contemplativa e a mão apoiada no queixo.
- **Texto:** Não há texto visível na imagem.

### Elementos Visíveis (do primeiro ao último plano):
1. Rosto da mulher.
2. Mão esquerda apoiada no queixo.
3. Cabelo amarrado em um coque.
4. Fundo desfocado, com possíveis cores neutras.

Essa descrição foi elaborada para transmitir a imagem de uma forma detalhada a alguém que não pode vê-la, destacando a presença única da mulher e a atmosfera da cena.";10;"
        Descreva esta imagem.
        Considere na descrição da imagem os seguintes pontos:
    
 Indivíduos(Animais ou pessoas).
 Quantidade de indivíduos.
 Objetos e a quantidade de cada objeto encontrado.
 Detalhes sobre cores, iluminação e sombras.
 Descreva a algo que está ocorrendo na imagem.
 Detalhe se algo escrito ou não na imagem e se houver transcreva.
 Faça a descrição reconstrutiva.
 Liste todos os elementos visíveis na imagem, do primeiro ao último plano.
 Descreva a imagem como se estivesse explicando para alguém que não pode vê-la."
