COMENTARIO,FONTE
Eu acho é bom,https://www.instagram.com/p/C-qlwTWRdJJ/c/18046587016757390/
"Se eu soubesse que seria assim, tinha feito o 13 antes. KkkkkkkQue o Nordeste se lasque",https://www.instagram.com/p/C-qlwTWRdJJ/c/18048980554860692/
O IQ do criador do vídeo é 83.,https://www.instagram.com/p/C-qlwTWRdJJ/c/17888678451093991/
😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18004797092645425/
O relógio marcando 20:13 kkkkkkk,https://www.instagram.com/p/C-qlwTWRdJJ/c/18312077275089188/
Se votou no Lula merece 10x mais taxação (mas só pra você) 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17954608025819300/
Se eu soubesse que o Lula ia foder tanto o petista eu tinha ajudado!!!!,https://www.instagram.com/p/C-qlwTWRdJJ/c/18050984383857990/
😌 Ainda bem que eu durmo de consciência limpa de não ter feito o L,https://www.instagram.com/p/C-qlwTWRdJJ/c/18135476728352182/
Mal sabe ele que todos os deputados aliados do Bolsonario votaram a favor. Se correr o  bixo pega se ficar o bixo come.,https://www.instagram.com/p/C-qlwTWRdJJ/c/18225715948303711/
Fez o L e mudou rapidinho  lkkkk,https://www.instagram.com/p/C-qlwTWRdJJ/c/18007941209400111/
Faz o L,https://www.instagram.com/p/C-qlwTWRdJJ/c/18036153047475808/
Ksksksksskskskskkskskkkkkkkkkkssks,https://www.instagram.com/p/C-qlwTWRdJJ/c/18013261520622034/
"Gado , quem aprovou a taxação não foi só o PT, até o partido do seu minto ta junto 😁",https://www.instagram.com/p/C-qlwTWRdJJ/c/18311955148080732/
🇧🇷🇧🇷🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18061662940640345/
FAZOELI,https://www.instagram.com/p/C-qlwTWRdJJ/c/18061884418630068/
Sempre foi mito 🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/17996688323672676/
😂😂😂😂😂😂😂😂😂😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17950935257829625/
Se fez o L só tá plantando o que colheu,https://www.instagram.com/p/C-qlwTWRdJJ/c/18005961545456109/
😂😂😂😂😂😂😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18081486142465942/
🇧🇷👏🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18099107158443829/
"Yo sabia 🤣🤣🤣🤣 po mais que não votei nessa desgraça, eu queria comprar meu PC e tá papo de 10 k com as taxas sfd😂😂",https://www.instagram.com/p/C-qlwTWRdJJ/c/18048277135907335/
🤣🤣🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18039809087080391/
😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18040289645314628/
Vai dar PT ainda pra vocês.... Perda total....,https://www.instagram.com/p/C-qlwTWRdJJ/c/18249706021270060/
Quem votou tem mais é que se lascar msm,https://www.instagram.com/p/C-qlwTWRdJJ/c/18036601916476470/
"Só ouço a música ""Bem na minha vez de conquistar aquilo que eu pedi, aquilo que eu achava que era para mim...."" logo agora que eu ia comprar meus equipamentos de vídeo na Aliexpress, trabalhei pra ter meu momento e aí vou ter que trabalhar muito mais aff 😂😂😂",https://www.instagram.com/p/C-qlwTWRdJJ/c/18303606436167593/
Já tava caro antes mkkkk,https://www.instagram.com/p/C-qlwTWRdJJ/c/17922749090952960/
Faz o L infeliz das costa oca,https://www.instagram.com/p/C-qlwTWRdJJ/c/18044827990792614/
"Muito bom, agora não compramos uma balinha sem ser taxados ❤️❤️❤️",https://www.instagram.com/p/C-qlwTWRdJJ/c/18042102154979520/
"Agora é faz o ""M"" de Marçal para presidente em 2026 !!!",https://www.instagram.com/p/C-qlwTWRdJJ/c/18111709912406740/
"REPITAM EM VOZ ALTA: TODOS OS DEPUTADOS DO PL, INCLUINDO O NICKOLAS, VOTARAM FAVORÁVEIS À TAXAÇÃO DAS COMPRAS DE 50 DÓLARES! TODOS!!!!!!",https://www.instagram.com/p/C-qlwTWRdJJ/c/18058758334663120/
😂😂😂😂😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18462317632034831/
VOLTA BOLSONARO N AGUENTO MAIS N PODER TWITTAR 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17885146371038332/
Lembrando que o Lula podia ter vetado e não o fez!,https://www.instagram.com/p/C-qlwTWRdJJ/c/18036426523910982/
Obrigado Deus por nunca ter sido petista 🙌🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18092151646478608/
😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18054784666751168/
,
"Mereceu toda sua taxação, quiser se mudar na maravilhosa cidade da Venezuela tbm",https://www.instagram.com/p/C-qlwTWRdJJ/c/17882876139100664/
faz o L,https://www.instagram.com/p/C-qlwTWRdJJ/c/18015538868555438/
👏👏👏👏,https://www.instagram.com/p/C-qlwTWRdJJ/c/17984370311710037/
KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK AH N BIXO,https://www.instagram.com/p/C-qlwTWRdJJ/c/17845743210285559/
Os dois apoiaram as taxações 😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18241809565275579/
Rindo demais dessa galera nos comentários que nunca comprou nem uma capinha de celular no Aliexpress e agora fica falando de taxa ahushaushausuaahss 🐂💩,https://www.instagram.com/p/C-qlwTWRdJJ/c/18136342303318168/
Se eu soubesse que o Lula ia lascar tanto os petistas eu mesmo tinha votado nele 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18022332560156733/
E quando ele aprender ler e souber q o projeto de taxar os sites chineses já era plano do ex governo Bolsonaro tbm!? 🤣 (não vem com essa de que era L e agora é B),https://www.instagram.com/p/C-qlwTWRdJJ/c/18051520939842147/
Faz L seu animal,https://www.instagram.com/p/C-qlwTWRdJJ/c/18064590355617383/
"Eu votei no bolsonaro mas N tava querendo ir votar, minha mãe ficou me pedindo aí eu fui né, mas bem que eu falei que se o Lula fraudasse as urnas não ia adiantar nada meu voto",https://www.instagram.com/p/C-qlwTWRdJJ/c/18454550959013665/
Calma que tem muito grosso ainda pra entrar,https://www.instagram.com/p/C-qlwTWRdJJ/c/18368814778108851/
AHUAHAUAHAUAHAUAHUAHAUAHAUA,https://www.instagram.com/p/C-qlwTWRdJJ/c/18035607872488624/
,
😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18065263291614455/
🤣🤣🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/17957440487807343/
Eu consegui o meu PC gamer em 2022 vocês que fizeram o L que se lasquem para montar um PC bom,https://www.instagram.com/p/C-qlwTWRdJJ/c/18029758370254365/
Tomara que tenha que vender o Pc com o aumento da energia vindo aí. Final de setembro 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18023867870147869/
"Um dia deixei um amigo meu uns 3 minutos sozinho no meu computador, maluco colocou o nome da maioria das coisas que ficam na área de trabalho como Bolsonaro e colocou esse wallpaper ainda",https://www.instagram.com/p/C-qlwTWRdJJ/c/18020232191412499/
,
"Se tiver votado no lula mesmo, desejo que receba tudo que ele pretende te dar!",https://www.instagram.com/p/C-qlwTWRdJJ/c/18014601326612271/
Tarde d+ 🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18047781088928387/
Oiiiiooooooooooo,https://www.instagram.com/p/C-qlwTWRdJJ/c/18083132623496908/
😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18164269027311772/
"Os dois são farinha do mesmo saco, a única opção é o MBL.",https://www.instagram.com/p/C-qlwTWRdJJ/c/18170470666308045/
KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK MUITO BOM.,https://www.instagram.com/p/C-qlwTWRdJJ/c/18038088269490292/
você 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18004888904448966/
Se votou L mere é mais quero ver tua família morando na rua de tanta tada,https://www.instagram.com/p/C-qlwTWRdJJ/c/17986796102707149/
Aonde encontro o wallpaper?,https://www.instagram.com/p/C-qlwTWRdJJ/c/18458620144008330/
Tirando que o PL todo votou : SIM pras taxas.  Sei lá que heróis vcs tem mas tem que rever isso aí 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18013164137325653/
"Dai no fone ta tocando, ""vai bolsonaro g... em mim bolsonaro""🤣 e meme gente, não uma critica",https://www.instagram.com/p/C-qlwTWRdJJ/c/18068379733596753/
😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18042776110982208/
Faz o Ⓜ️,https://www.instagram.com/p/C-qlwTWRdJJ/c/17874990861086805/
Hahahaha tem sorte do pc ainda não ter sido socializado pra cervejinha,https://www.instagram.com/p/C-qlwTWRdJJ/c/17896938345052944/
Se fez o L não é gamer,https://www.instagram.com/p/C-qlwTWRdJJ/c/18024595067521285/
se fez o L tem mais é que se ufder mesmo,https://www.instagram.com/p/C-qlwTWRdJJ/c/17920835387866400/
Mata as aulas de história e fica pensando que o Brasil vive em monarquia,https://www.instagram.com/p/C-qlwTWRdJJ/c/18062818390720477/
😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18021319196417344/
Tu merece taxação de 300% por ter votado no lula,https://www.instagram.com/p/C-qlwTWRdJJ/c/17849153001259078/
🤘🤘🤘🤘🤘,https://www.instagram.com/p/C-qlwTWRdJJ/c/17889599331087724/
Essa culpa eu ñ carrego...,https://www.instagram.com/p/C-qlwTWRdJJ/c/18047320375908557/
Se fez o L antes. Fique feliz e pro seu bem 🤣,https://www.instagram.com/p/C-qlwTWRdJJ/c/18043146289999743/
Montei meu pc antes dessa BOSTA. Agora eu quero que SE FODA.,https://www.instagram.com/p/C-qlwTWRdJJ/c/18074341207534571/
Depois da cagada já não adianta mais,https://www.instagram.com/p/C-qlwTWRdJJ/c/18032855453332884/
Como você tirou o alarme desse relógio demoníaco? Tentei de tudo jeito,https://www.instagram.com/p/C-qlwTWRdJJ/c/18125190589371794/
Uma placa de 2 mil agora tá 4,https://www.instagram.com/p/C-qlwTWRdJJ/c/18012698654626565/
taxação pra todo petista é pouco,https://www.instagram.com/p/C-qlwTWRdJJ/c/18452862040063450/
😂😂😂😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17939223599776433/
"É só um meme gente, pelo amor de Deus kkkkkkkkk",https://www.instagram.com/p/C-qlwTWRdJJ/c/18028120025350894/
Pai tá estourado e algemado,https://www.instagram.com/p/C-qlwTWRdJJ/c/18009607436347686/
Kkkkkkkk fez o L agora segura o L,https://www.instagram.com/p/C-qlwTWRdJJ/c/18013219733621559/
PT partido da taxação 😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18042681556953385/
Nós avisamos,https://www.instagram.com/p/C-qlwTWRdJJ/c/18087358336468813/
Acho é pouco kkkkkk,https://www.instagram.com/p/C-qlwTWRdJJ/c/18322094905156050/
"Você nem merece ter nada disso se você votou naquele l1x 0, que se f 0.d4 você e ele.",https://www.instagram.com/p/C-qlwTWRdJJ/c/17842478712318079/
Tá ligado que o projeto das taxas começou no governo do mito né? A ideia foi propaganda e proposta foi o véio da Havan,https://www.instagram.com/p/C-qlwTWRdJJ/c/17881398936055783/
"Você sabe realmente quem cria as taxas né? Uma dica, duas grandes casas do legislativo e adendo, nelas em sua maioria é dominada pelo direita em grande parte do PL.",https://www.instagram.com/p/C-qlwTWRdJJ/c/17869556244126443/
Faz a 🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18097621531452302/
Parabéns por ter contribuído para esta merda de desgoverno 👏👏 idiota,https://www.instagram.com/p/C-qlwTWRdJJ/c/18070150099575663/
😂😂😂 rapaz falta de aviso não foi,https://www.instagram.com/p/C-qlwTWRdJJ/c/18066072475611430/
😂🇧🇷,https://www.instagram.com/p/C-qlwTWRdJJ/c/18038561801121589/
😂😂😂😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/17853877494223385/
😂,https://www.instagram.com/p/C-qlwTWRdJJ/c/18061741279633386/
"O cara é de direita anti comunista até ter que comprar produto da china, aí ele vira o próprio mao tse tung.",https://www.instagram.com/p/C-qlwTWRdJJ/c/18336206245193151/
Faz o L,https://www.instagram.com/p/C-qlwTWRdJJ/c/17988028208705470/
